name,usrid,ra,dec,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,extent_flag,pileup_flag,sat_src_flag,streak_src_flag,conf_flag,flux_aper90_mean_b,e_flux_aper90_mean_b,flux_aper90_mean_h,e_flux_aper90_mean_h,flux_aper90_mean_m,e_flux_aper90_mean_m,flux_aper90_mean_s,e_flux_aper90_mean_s,kp_intra_prob_b,ks_intra_prob_b,var_inter_prob_b,nh_gal,flux_powlaw_mean,e_flux_powlaw_mean,powlaw_gamma_mean,e_powlaw_gamma_mean,powlaw_nh_mean,e_powlaw_nh_mean,powlaw_ampl_mean,e_powlaw_ampl_mean,powlaw_stat,remove_code,flux_significance_b_max,flux_aper90_ave_s,e_flux_aper90_ave_s,flux_aper90_ave_m,e_flux_aper90_ave_m,flux_aper90_ave_h,e_flux_aper90_ave_h,chisqr,dof,kp_prob_b_max,var_inter_prob,significance_max,flux_flag,flux_aper90_ave_b,e_flux_aper90_ave_b
2CXO J111155.3-603652,1,167.98079166666665,-60.614533333333334,0.81,0.72,98.6,6.93,False,False,False,False,False,6.918265578615111e-15,1.3564225773698825e-15,2.1850000000000002e-15,1.15e-15,1.7749999999999999e-15,4.79e-16,2.958265578615111e-15,5.366015359638425e-16,0.818,0.772,,145.4,,,,,,,,,,0,6.93,2.958265578615111e-15,5.366015359638425e-16,1.7749999999999999e-15,4.79e-16,2.1850000000000002e-15,1.15e-15,,0.0,0.818,,6.93,0,6.918265578615111e-15,1.3564225773698825e-15
2CXO J111153.8-603740,2,167.97454166666665,-60.62778055555555,0.86,0.77,111.0,3.03,False,False,False,False,False,1.3434542829059671e-15,4.493401386155443e-16,4.26868240029533e-16,3.2250349711916155e-16,2.855860428764341e-16,2.0474006573445146e-16,6.31e-16,2.3660000000000004e-16,0.485,0.417,,145.3,,,,,,,,,,0,3.03,6.31e-16,2.3660000000000004e-16,2.855860428764341e-16,2.0474006573445146e-16,4.26868240029533e-16,3.2250349711916155e-16,,0.0,0.485,,3.03,0,1.3434542829059671e-15,4.493401386155443e-16
2CXO J111153.3-603620,3,167.97241666666667,-60.60561944444444,0.81,0.74,99.3,5.87,False,False,False,False,False,5.1292175217469875e-15,1.082476134793296e-15,1.7050154063077907e-15,8.936790357935037e-16,1.5912021154391972e-15,4.435001278243646e-16,1.833e-15,4.2e-16,0.544,0.57,,145.6,,,,,,,,,,0,5.87,1.833e-15,4.2e-16,1.5912021154391972e-15,4.435001278243646e-16,1.7050154063077907e-15,8.936790357935037e-16,,0.0,0.544,,5.87,0,5.1292175217469875e-15,1.082476134793296e-15
2CXO J111149.6-603751,4,167.9569583333333,-60.6311,0.76,0.73,85.3,4.54,False,False,False,False,False,2.4256377049083976e-15,5.53223864581813e-16,4.0747964520202336e-16,3.078552074369267e-16,1.0442018856961032e-15,3.4996351179007363e-16,9.739561740102711e-16,2.980056308400263e-16,0.908,0.663,,145.3,,,,,,,,,,0,4.54,9.739561740102711e-16,2.980056308400263e-16,1.0442018856961032e-15,3.4996351179007363e-16,4.0747964520202336e-16,3.078552074369267e-16,,0.0,0.908,,4.54,0,2.4256377049083976e-15,5.53223864581813e-16
2CXO J111200.6-603716,5,168.00262499999997,-60.621272222222224,0.87,0.77,103.9,4.06,False,False,False,False,False,2.3816609508638902e-15,5.632737229774057e-16,4.54155892008991e-16,3.431196085237883e-16,6.234202115439198e-16,2.7545000205809094e-16,1.3040848473109793e-15,3.5167245784892955e-16,0.451,0.856,,145.2,,,,,,,,,,0,4.06,1.3040848473109793e-15,3.5167245784892955e-16,6.234202115439198e-16,2.7545000205809094e-16,4.54155892008991e-16,3.431196085237883e-16,,0.0,0.451,,4.06,0,2.3816609508638902e-15,5.632737229774057e-16
2CXO J111145.4-603709,6,167.9393333333333,-60.61922777777778,0.95,0.86,93.8,3.06,False,False,False,False,False,1.4893425533890452e-15,4.808864444826098e-16,5.056194461807758e-16,3.8200087126058443e-16,1.1952310720826923e-16,9.030097919336522e-17,8.642e-16,2.778e-16,0.568,0.344,,145.6,,,,,,,,,,0,3.06,8.642e-16,2.778e-16,1.1952310720826923e-16,9.030097919336522e-17,5.056194461807758e-16,3.8200087126058443e-16,,0.0,0.568,,3.06,0,1.4893425533890452e-15,4.808864444826098e-16
2CXO J111201.0-603635,7,168.00449999999995,-60.60995277777778,1.0,1.0,0.0,4.67,False,False,False,False,False,4.594797861586492e-15,1.2654618289829616e-15,3.768202115439196e-15,1.2335000459587455e-15,1.6789574614729635e-16,1.3734000594391746e-16,6.586999999999999e-16,2.4699999999999997e-16,0.026,0.008,,145.4,,,,,,,,,,0,4.67,6.586999999999999e-16,2.4699999999999997e-16,1.6789574614729635e-16,1.3734000594391746e-16,3.768202115439196e-15,1.2335000459587455e-15,,0.0,0.026,,4.67,0,4.594797861586492e-15,1.2654618289829616e-15
2CXO J111203.7-603635,8,168.01579166666664,-60.609997222222226,1.04,0.81,112.7,4.49,False,False,False,False,False,2.3589003162321306e-15,5.696381121178189e-16,4.547941996576333e-16,3.4360185674377956e-16,5.725e-16,2.785e-16,1.3316061165744974e-15,3.589750587706338e-16,0.437,0.86,,145.3,,,,,,,,,,0,4.49,1.3316061165744974e-15,3.589750587706338e-16,5.725e-16,2.785e-16,4.547941996576333e-16,3.4360185674377956e-16,,0.0,0.437,,4.49,0,2.3589003162321306e-15,5.696381121178189e-16
2CXO J111204.8-603707,9,168.02004166666666,-60.61869166666667,0.92,0.8,104.9,4.0,False,False,False,False,False,2.019557967809137e-15,6.874141637551128e-16,6.538070823968585e-16,5.743977693827947e-16,6.202104623244388e-16,2.6564425558254004e-16,7.455404230878394e-16,2.68400008448601e-16,0.999,0.997,,145.2,,,,,,,,,,0,4.0,7.455404230878394e-16,2.68400008448601e-16,6.202104623244388e-16,2.6564425558254004e-16,6.538070823968585e-16,5.743977693827947e-16,,0.0,0.999,,4.0,0,2.019557967809137e-15,6.874141637551128e-16
2CXO J111158.5-603545,10,167.99404166666665,-60.595958333333336,0.87,0.8,103.1,7.17,False,False,False,False,False,8.53382846743329e-15,1.66316556294567e-15,3.4345628888181793e-15,1.481726857882259e-15,2.686265578615111e-15,5.765944921682436e-16,2.413e-15,4.88e-16,0.971,0.792,,145.6,,,,,,,,,,0,7.17,2.413e-15,4.88e-16,2.686265578615111e-15,5.765944921682436e-16,3.4345628888181793e-15,1.481726857882259e-15,,0.0,0.971,,7.17,0,8.53382846743329e-15,1.66316556294567e-15
