name,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_YSO,P_LMXB,P_NS,e_P_LMXB,e_P_NS,Class,Class_prob,Class_prob_e,conf_flag,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W3,cp_counts,CSC_flags,GLON,GLAT,PU_TeV,TeV_extent,HESS,true_Class
2CXO J191416.6+094905,0.4090436746987952,0.0010793172690763,0.0375878514056224,0.0009638554216867,0.0,0.0287374497991967,0.2787943720010284,0.0044625447295302,0.0467045784828243,0.0032134608208935,0.0,0.0286841856368756,0.1495331325301205,0.373054718875502,0.1712075290301496,0.2485185498426643,AGN,0.4090436746987952,0.2787943720010284,0.0,288.56920833333334,9.818116666666668,1.61,5.14,5.2114727069605886e-14,0.940995561088979,,,,,,0,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191411.4+095237,0.0502627175368139,0.0061194779116465,0.0246352074966532,8.032128514056225e-05,0.0001054216867469,0.0063403614457831,0.1251672276372464,0.024229364263048,0.0393663619787942,0.0009992833096039,0.0016816869739291,0.0121707127446771,0.1110023427041499,0.8014541499330656,0.1274702399884973,0.1875202636079883,NS,0.8014541499330656,0.1875202636079883,1.0,288.5478333333333,9.877008333333334,0.85,5.14,2.9857676710799995e-14,0.8654310929191426,,0.601,,,,0,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191355.5+094615,1.004016064257028e-05,0.0549799196787148,0.4006626506024096,0.0308534136546184,0.3007028112449799,0.2092168674698795,0.0003168621252622,0.0466215340327989,0.143091363618892,0.0301816044075966,0.1090401614828663,0.1046121775660081,0.0034236947791164,0.0001506024096385,0.006529808019157,0.0012983985646625,HM-STAR,0.4006626506024096,0.143091363618892,0.0,288.4812916666666,9.770991666666667,1.49,6.03,2.272112233148995e-14,0.19010047560464666,,0.421,12.299035,9.79,8.749,9,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191408.5+095504,0.0,0.0027510040160642,0.1437048192771084,0.0009839357429718,0.7809738955823293,0.0649899598393574,0.0,0.0069065731560436,0.0859158710680066,0.0034489446309304,0.1104142738992045,0.0455044301736162,0.0064859437751004,0.0001104417670682,0.0099294396656214,0.0010456184751621,LM-STAR,0.7809738955823293,0.1104142738992045,1.0,288.53545833333334,9.917930555555555,0.75,8.75,1.954387378810518e-14,-0.8928910147974362,,0.817,13.118026,11.694,11.966,9,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191417.8+100116,2.008032128514056e-05,0.0529919678714859,0.0723995983935743,0.0244578313253012,0.1132530120481927,0.7330421686746988,0.0004478854770777,0.0438141797535954,0.0398762528019746,0.0282203680838788,0.0712956914480752,0.1021560646099811,0.0036044176706827,0.0002309236947791,0.0080175774585449,0.0015681783914907,YSO,0.7330421686746988,0.1021560646099811,1.0,288.57416666666666,10.021272222222224,2.07,5.09,2.1118210395204243e-14,-0.27510804637665265,,0.883,14.744969,12.203,10.203,9,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191348.6+095235,8.032128514056225e-05,0.0589457831325301,0.1733433734939759,0.0239859437751004,0.1358232931726907,0.5901405622489959,0.0009992833096039,0.0560185994981831,0.0817470455954401,0.0291189865914564,0.0699836657151728,0.1239264667741348,0.0158232931726907,0.0018574297188755,0.0179900838012018,0.0062977825737964,YSO,0.5901405622489959,0.1239264667741348,1.0,288.45287499999995,9.8764,0.88,4.11,4.337940974921948e-15,-0.638483253526321,,0.555,17.249744,14.052,,8,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191346.8+095635,0.0052459839357429,0.1254919678714859,0.1296987951807229,0.0046385542168674,0.0484538152610441,0.4323142570281124,0.0094451462601231,0.0619426622188355,0.0743109698480176,0.0089985972953841,0.031400618940576,0.0876177779483894,0.2232730923694779,0.0308835341365461,0.0913240391105915,0.0296533149139649,YSO,0.4323142570281124,0.0876177779483894,0.0,288.4453333333333,9.943205555555556,1.73,3.17,5.564296620973786e-15,-0.41498407846030383,,0.857,18.02978,,,5,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191342.2+095601,0.6667921686746988,0.0003664658634538,0.0191014056224899,0.0009939759036144,1.004016064257028e-05,0.0176305220883534,0.2828716277178651,0.0022841467975599,0.0375890334433883,0.0034020336595225,0.0003168621252622,0.024686130871718,0.0738855421686747,0.2212198795180723,0.1160062507058189,0.243567894936101,AGN,0.6667921686746988,0.2828716277178651,0.0,288.4261249999999,9.933613888888887,1.28,5.03,3.717580775315866e-14,0.9665955197090176,,,,,,0,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191347.3+095852,0.037324297188755,0.006867469879518,0.010863453815261,0.0010542168674698,0.000617469879518,0.0166465863453815,0.0806487156044738,0.0327166379387333,0.0211825620355713,0.0037501185628368,0.0053561832979935,0.0215399499911602,0.2542269076305221,0.6723995983935743,0.1876311058387358,0.2178859481283689,NS,0.6723995983935743,0.2178859481283689,0.0,288.44724999999994,9.981266666666668,1.95,3.88,2.9654256605113954e-14,0.8931514874096866,,0.51,,,,0,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191351.1+101153,0.1400953815261044,0.0090244310575635,0.0054467871485943,0.0114759036144578,0.0012198795180722,0.0662299196787148,0.109657144708785,0.0153186647832773,0.0136678539234673,0.015186625353742,0.0037028912220797,0.0429797001094828,0.1989072958500669,0.5676004016064258,0.1348237768550309,0.1810869331193506,NS,0.5676004016064258,0.1810869331193506,0.0,288.4631666666666,10.198097222222222,2.42,5.5,7.436922992066311e-14,0.9451593105686703,,0.154,,,,2,,44.459999,-0.13,58.8,extent,J1912+101,
