name,Class,Class_prob,Class_prob_e,P_AGN,e_P_AGN,P_CV,e_P_CV,P_HM-STAR,e_P_HM-STAR,P_HMXB,e_P_HMXB,P_LM-STAR,e_P_LM-STAR,P_LMXB,e_P_LMXB,P_NS,e_P_NS,P_YSO,e_P_YSO,P_CO,e_P_CO,Candidate_CO,ra,dec,PU,significance,flux_flag,Fcsc_s,e_Fcsc_s,Fcsc_m,e_Fcsc_m,Fcsc_h,e_Fcsc_h,flux_aper90_ave_b,e_flux_aper90_ave_b,var_intra_prob,var_inter_prob,EDR3Name_gaia,source_id,RA_pmcor_gaia,DEC_pmcor_gaia,Gmag_gaia,e_Gmag_gaia,BPmag_gaia,e_BPmag_gaia,RPmag_gaia,e_RPmag_gaia,Plx_gaia,e_Plx_gaia,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,cp_flag_gaia,_2MASS_2mass,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,cp_flag_2mass,Name_catwise,W1mag_catwise,e_W1mag_catwise,W2mag_catwise,e_W2mag_catwise,cp_flag_catwise,objID_unwise,W1mag_unwise,e_W1mag_unwise,W2mag_unwise,e_W2mag_unwise,cp_flag_unwise,AllWISE_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag,e_W3mag,W4mag,e_W4mag,cp_flag_allwise,VPHASDR2_vphas,gmag_vphas,rmag_vphas,imag_vphas,Gmag_vphas,RPmag_vphas,BPmag_vphas,e_Gmag_vphas,e_RPmag_vphas,e_BPmag_vphas,cp_flag_vphas,_2MASS_2mass_gaia,Jmag_2mass_gaia,e_Jmag_2mass_gaia,Hmag_2mass_gaia,e_Hmag_2mass_gaia,Kmag_2mass_gaia,e_Kmag_2mass_gaia,cp_flag_2mass_gaia,AllWISE_allwise_gaia,W1mag_allwise_gaia,e_W1mag_allwise_gaia,W2mag_allwise_gaia,e_W2mag_allwise_gaia,W3mag_allwise_gaia,e_W3mag_allwise_gaia,W4mag_allwise_gaia,e_W4mag_allwise_gaia,cp_flag_allwise_gaia,cp_flag_wise12,which_wise12,W1mag,e_W1mag,W2mag,e_W2mag,which_gaia,cp_flag_comb,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP-RP,Jmag-Hmag,W1mag-W2mag,Jmag-W2mag,HRMS,HRHM
2CXO J110355.5-584754,LM-STAR,0.98989899,0.03,0,0,0,0,0.01010101,0.02,0,0,0.98989899,0.03,0,0,0,0,0,0.01,0,0,FALSE,165.981625,-58.79836667,2.33964311,6.05,0,5.57E-15,9.69E-16,5.66E-16,2.37E-16,2.66E-15,1.97E-15,8.80E-15,2.21E-15,0.473,,Gaia EDR3 5338702386868676736,5338702386868676736,165.9817175,-58.79826937,10.676302,0.00276,10.861904,0.002817,10.353867,0.003786,2.0945,0.0164,474.775238,471.371704,478.051758,475.500854,470.971802,479.17337,0,11035561-5847538,10.019,0.026,9.849,0.029,9.832,0.027,0,J110355.60-584753.7,9.829,0.019,9.84,0.012,0,1670m591o0035952,9.805491547,-0.000527171,9.812767768,-0.001104087,0,J110355.54-584753.8,9.643,0.023,9.682,0.02,9.75,0.25,8.773,,0,VPHASDR2 J110355.6-584753.7,,,,,,,,,,0,11035561-5847538,10.019,0.026,9.849,0.029,9.832,0.027,0,,,,,,,,,,,0,allwise,9.643,0.023,9.682,0.02,gaia,0,10.676302,0.00276,10.861904,0.002817,10.353867,0.003786,0.508037,0.17,-0.039,0.337,-0.815567345,0.649080926
2CXO J110414.8-585305,LM-STAR,1,0.01,0,0,0,0,0,0.005,0,0,1,0.01,0,0,0,0,0,0.005,0,0,FALSE,166.06175,-58.88492778,0.623899999,12.15,0,1.47E-14,1.36E-15,2.92E-15,4.52E-16,7.28E-16,7.16E-16,1.84E-14,1.60E-15,0.987,,Gaia EDR3 5338700836339224192,5338700836339224192,166.0619126,-58.8848153,12.473644,0.002772,12.772521,0.002936,12.010019,0.003856,2.0028,0.017,493.065674,489.456329,496.682129,493.788361,490.434998,497.792358,0,11041485-5853053,11.48,0.023,11.179,0.026,11.092,0.021,0,J110414.85-585305.3,10.946,0.009,11.081,0.009,0,1670m591o0033187,11.07297502,-0.000977561,11.07146854,-0.002113664,0,J110414.85-585305.4,11.032,0.024,11.092,0.022,10.264,0.293,8.488,0.529,0,VPHASDR2 J110414.9-585305.4,,,,,,,,,,0,11041485-5853053,11.48,0.023,11.179,0.026,11.092,0.021,0,J110414.85-585305.4,11.032,0.024,11.092,0.022,10.264,0.293,8.488,0.529,0,0,allwise,11.032,0.024,11.092,0.022,gaia,0,12.473644,0.002772,12.772521,0.002936,12.010019,0.003856,0.762502,0.301,-0.06,0.388,-0.66844764,-0.601376984
2CXO J110415.1-584545,LM-STAR,0.777777778,0.115,0,0,0.01010101,0.02,0,0,0,0,0.777777778,0.115,0,0.005,0,0,0.212121212,0.105,0.01010101,0.020615528,FALSE,166.0629583,-58.76266111,1.458537872,8.01,0,6.92E-15,1.03E-15,1.06E-15,2.74E-16,1.22E-15,1.18E-15,9.20E-15,1.59E-15,0.81,,Gaia EDR3 5338703314581802624,5338703314581802624,166.0630623,-58.76267829,15.649481,0.002998,16.425692,0.006006,14.775111,0.005246,2.2489,0.0384,436.54422,429.148376,444.339935,439.22345,430.262512,445.788055,0,11041513-5845457,13.639,0.026,12.993,0.023,12.823,0.019,0,J110415.12-584545.3,12.787,0.013,12.926,0.012,0,1670m591o0037073,12.79482352,-0.002533194,12.78481478,-0.005967246,0,J110415.07-584545.8,12.726,0.031,12.843,0.031,12.123,,9.393,,0,VPHASDR2 J110415.1-584545.7,16.93,15.52,14.76,15.57878309,14.76022936,16.28835962,0.007338331,0.135494581,0.150722832,0,11041513-5845457,13.639,0.026,12.993,0.023,12.823,0.019,0,J110415.07-584545.8,12.726,0.031,12.843,0.031,12.123,,9.393,,0,0,allwise,12.726,0.031,12.843,0.031,gaia,0,15.649481,0.002998,16.425692,0.006006,14.775111,0.005246,1.650581,0.646,-0.117,0.796,-0.735323962,0.070790509
2CXO J110418.5-584728,LM-STAR,0.88,0.08,0,0,0,0.005,0.01,0.01,0,0,0.88,0.08,0,0,0,0,0.11,0.07,0,0.005,FALSE,166.0774583,-58.79137222,1.117978729,7.26,0,3.08E-15,5.38E-16,1.16E-15,2.82E-16,6.81E-16,5.14E-16,4.92E-15,7.96E-16,1,,Gaia EDR3 5338703005344054400,5338703005344054400,166.0775359,-58.79119945,14.955913,0.003153,15.51604,0.006764,14.214423,0.00618,2.1138,0.0212,465.362854,460.997864,470.610626,465.212952,460.888519,469.931549,0,11041861-5847283,13.296,0.029,12.79,0.035,12.645,0.03,0,J110418.59-584728.3,12.529,0.015,12.699,0.014,0,1670m591o0036184,12.54091018,-0.002112675,12.62438081,-0.005190934,0,J110418.60-584728.2,12.555,0.028,12.715,0.031,12.936,,9.367,,0,VPHASDR2 J110418.6-584728.3,15.95,14.75,14.15,14.86940541,14.15584395,15.41735997,0.007338331,0.122900912,0.120121208,0,11041861-5847283,13.296,0.029,12.79,0.035,12.645,0.03,0,J110418.60-584728.2,12.555,0.028,12.715,0.031,12.936,,9.367,,0,0,allwise,12.555,0.028,12.715,0.031,gaia,0,14.955913,0.003153,15.51604,0.006764,14.214423,0.00618,1.301617,0.506,-0.16,0.581,-0.451286835,-0.26141469
2CXO J110420.3-585010,Unconfident Classification,0.357142857,0.08,0,0,0.306122449,0.075,0.051020408,0.03,0,0,0.020408163,0.015,0.357142857,0.08,0,0,0.265306122,0.0708,0.663265306,0.109658561,TRUE,166.084625,-58.83619444,0.716373014,9.34,0,2.83E-15,4.77E-16,1.66E-15,3.23E-16,5.01E-15,1.17E-15,9.50E-15,1.30E-15,1,,Gaia EDR3 5338701390433208192,5338701390433208192,166.0847579,-58.83617769,16.600018,0.003235,17.022322,0.014589,15.799264,0.00711,0.6663,0.0478,1481.01904,1397.74902,1594.13,1474.25562,1376.06714,1556.94092,0,,,,,,,,-8,,,,,,-8,,,,,,-8,,,,,,,,,,-8,VPHASDR2 J110420.3-585010.3,17.51,16.48,15.8,16.55379207,15.8060865,17.08611193,0.051109016,0.157296403,0.181436657,0,,,,,,,,,,,,,,,,,,,,,,,,,gaia,0,16.600018,0.003235,17.022322,0.014589,15.799264,0.00711,1.223058,,,,-0.259403133,0.501889278
2CXO J110423.1-585445,Unconfident Classification,0.474747475,0.07,0.474747475,0.07,0.02020202,0.02,0,0.005,0,0,0,0.005,0.454545455,0.075,0.050505051,0.03,0,0.005,0.525252525,0.083216585,FALSE,166.0964583,-58.91271667,0.551529179,16.52,0,1.71E-15,4.70E-16,8.26E-15,7.66E-16,3.14E-14,2.89E-15,4.14E-14,3.03E-15,0.963,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,-8,,,,,,-8,1670m591o0217122,,,16.04471156,-0.086197415,-4,,,,,,,,,,-8,,,,,,,,,,,-8,,,,,,,,,,,,,,,,,,,-4,unwise,,,,,,,,,,,,,,,,,0.656267461,0.583950825
2CXO J110423.6-584935,Unconfident Classification,0.453608247,0.08,0.020618557,0.015,0.103092784,0.04,0.051546392,0.025,0,0,0.082474227,0.055,0.453608247,0.08,0.030927835,0.0379,0.257731959,0.105,0.587628866,0.097141186,FALSE,166.0985417,-58.82648889,1.015974532,5.68,0,1.21E-15,3.32E-16,7.50E-16,2.12E-16,5.87E-16,5.19E-16,2.55E-15,6.52E-16,1,,Gaia EDR3 5338701424793032960,5338701424793032960,166.0987245,-58.8263944,19.613007,0.004852,21.44119,0.208525,18.416943,0.041244,1.1833,0.2867,1223.66333,882.820496,2284.05176,5390.40186,4459.68213,6722.88232,0,,,,,,,,-8,,,,,,-8,,,,,,-8,,,,,,,,,,-8,VPHASDR2 J110423.7-584935.1,22.1,20.3,18.38,19.70832377,18.33770382,21.28513175,0.122616107,0.220951284,0.423820417,0,,,,,,,,,,,,,,,,,,,,,,,,,gaia,0,19.613007,0.004852,21.44119,0.208525,18.416943,0.041244,3.024247,,,,-0.234978665,-0.122043134
2CXO J110424.3-584835,LM-STAR,0.96969697,0.03,0,0,0,0.005,0.01010101,0.015,0,0,0.96969697,0.03,0,0,0,0,0.02020202,0.02,0,0.005,FALSE,166.1015,-58.80980833,1.05790762,5.7,0,2.37E-15,4.71E-16,4.01E-16,1.54E-16,5.48E-16,4.14E-16,3.32E-15,6.46E-16,0.458,,Gaia EDR3 5338702902264853248,5338702902264853248,166.1016293,-58.8097906,13.287255,0.00281,13.631284,0.003186,12.77194,0.004038,2.0653,0.0131,476.438232,472.826813,479.759735,476.287811,473.662628,478.789398,0,11042438-5848353,12.188,0.037,11.893,0.041,11.802,0.039,0,J110424.35-584835.0,11.731,0.017,11.768,0.012,0,1670m591o0035600,11.6969858,-0.00142341,11.7057509,-0.003171604,0,J110424.39-584835.9,11.363,0.023,11.445,0.022,8.852,0.033,6.748,0.079,0,VPHASDR2 J110424.4-584835.3,13.87,13.16,12.7,13.25909415,12.70867909,13.59349558,0,0.082286083,0.05155183,0,11042438-5848353,12.188,0.037,11.893,0.041,11.802,0.039,0,,,,,,,,,,,0,allwise,11.363,0.023,11.445,0.022,gaia,0,13.287255,0.00281,13.631284,0.003186,12.77194,0.004038,0.859344,0.295,-0.082,0.743,-0.710555394,0.154020461
2CXO J110424.9-585059,Unconfident Classification,0.360824742,0.105,0.010309278,0.01,0.216494845,0.07,0.010309278,0.01,0,0.01,0.360824742,0.105,0.103092784,0.05,0,0.01,0.298969072,0.075,0.319587629,0.087177979,FALSE,166.104125,-58.84981944,1.009723223,5.58,0,1.49E-15,3.72E-16,6.19E-16,1.96E-16,3.46E-16,3.46E-16,2.45E-15,5.44E-16,1,,Gaia EDR3 5338654347619391232,5338654347619391232,166.1042725,-58.84991784,19.378048,0.003823,21.38827,0.131408,18.116045,0.018151,2.7432,0.2225,371.121399,340.209991,403.680176,358.767975,332.613281,384.712097,0,11042508-5851000,16.06,0.094,15.848,0.177,15.157,0.182,0,,,,,,-8,,,,,,-8,,,,,,,,,,-8,VPHASDR2 J110425.0-585059.8,21.66,20.1,18.18,19.46292138,18.13725032,20.97563102,0.099709106,0.216612689,0.371230762,0,11042508-5851000,16.06,0.094,15.848,0.177,15.157,0.182,0,,,,,,,,,,,,,,,,,gaia,0,19.378048,0.003823,21.38827,0.131408,18.116045,0.018151,3.272225,0.212,,,-0.412512571,-0.283214247
2CXO J110428.3-585400,Unconfident Classification,0.691489362,0.33,0.691489362,0.33,0,0,0.010638298,0.015,0,0,0,0,0.042553191,0.0825,0.255319149,0.27,0,0.005,0.29787234,0.282322953,FALSE,166.118125,-58.90016389,0.726085435,8.77,0,4.11E-16,2.05E-16,1.99E-15,3.69E-16,1.08E-14,1.67E-15,1.32E-14,1.72E-15,0.419,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,-8,,,,,,-8,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.658325412,0.687119508
2CXO J110429.5-584406,Unconfident Classification,0.56043956,0.1475,0.131868132,0.14,0.010989011,0.015,0,0.01,0,0,0,0,0.285714286,0.19,0.56043956,0.1475,0.010989011,0.02,0.857142857,0.241000519,FALSE,166.1232083,-58.73519444,1.34299529,7.49,0,4.42E-16,4.22E-16,8.93E-16,2.88E-16,1.32E-14,1.83E-15,1.46E-14,1.90E-15,0.897,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,-8,,,,,,-8,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.337455972,0.873584044
2CXO J110430.1-585147,Unconfident Classification,0.595959596,0.11,0,0,0,0,0.333333333,0.1,0,0,0.595959596,0.11,0,0,0,0,0.070707071,0.04,0,0,FALSE,166.1257917,-58.86307222,0.382621681,15.53,0,1.31E-14,1.16E-15,3.91E-15,4.65E-16,5.55E-15,1.03E-15,2.25E-14,1.62E-15,1,,Gaia EDR3 5338654351960981504,5338654351960981504,166.1259509,-58.86301538,9.837023,0.002771,9.884741,0.002827,9.731436,0.003812,2.1294,0.0167,466.25589,462.806915,469.083618,466.779602,463.34259,469.990051,0,11043023-5851469,9.589,0.023,9.562,0.027,9.453,0.019,0,J110430.22-585146.9,9.205,0.008,9.392,0.007,0,1670m591o0033949,9.463534538,-0.000429581,9.477974284,-0.000899618,0,J110430.22-585146.9,9.445,0.023,9.482,0.02,9.798,0.121,9.346,,0,,,,,,,,,,,-8,11043023-5851469,9.589,0.023,9.562,0.027,9.453,0.019,0,J110430.22-585146.9,9.445,0.023,9.482,0.02,9.798,0.121,9.346,,0,0,allwise,9.445,0.023,9.482,0.02,gaia,0,9.837023,0.002771,9.884741,0.002827,9.731436,0.003812,0.153305,0.027,-0.037,0.107,-0.539623962,0.17278886
2CXO J110430.3-584948,Unconfident Classification,0.581632653,0.1308,0,0,0.040816327,0.04,0,0.005,0,0,0.581632653,0.1308,0,0,0,0,0.37755102,0.12,0.040816327,0.04,FALSE,166.1264583,-58.83013611,0.637176093,7.81,0,3.37E-15,5.74E-16,1.13E-15,2.55E-16,4.35E-16,4.15E-16,4.94E-15,7.53E-16,0.941,,Gaia EDR3 5338655966868690432,5338655966868690432,166.1265631,-58.8300385,16.835651,0.003011,17.949158,0.009471,15.780839,0.005329,2.1827,0.0513,452.194,444.508698,463.603729,451.066681,441.837585,460.883728,0,11043037-5849482,14.388,0.039,13.771,0.037,13.598,0.044,0,J110430.43-584947.7,13.103,0.012,13.161,0.01,-4,1670m591o0101420,13.36942994,-0.003967659,13.23586068,-0.008858591,0,,,,,,,,,,-8,VPHASDR2 J110430.4-584948.2,18.63,16.91,15.77,16.78253227,15.7558998,17.82966261,0.048940244,0.156250655,0.2075605,0,11043037-5849482,14.388,0.039,13.771,0.037,13.598,0.044,0,,,,,,,,,,,-4,catwise,,,,,gaia,0,16.835651,0.003011,17.949158,0.009471,15.780839,0.005329,2.168319,0.617,,,-0.498463335,-0.443996976
2CXO J110431.6-585501,LM-STAR,0.785714286,0.115,0,0,0,0.01,0,0,0,0,0.785714286,0.115,0,0,0,0,0.214285714,0.115,0,0.01,FALSE,166.1320417,-58.91701667,0.885057783,7.63,0,4.98E-15,7.98E-16,1.58E-15,3.43E-16,5.20E-16,3.93E-16,7.08E-15,9.53E-16,0.719,,Gaia EDR3 5338653836564519936,5338653836564519936,166.1322668,-58.91703807,15.49906,0.003134,16.159851,0.006065,14.702211,0.005732,2.0655,0.0251,475.009918,469.468628,480.920654,475.485413,471.183502,480.294434,0,11043175-5855013,13.686,0.046,13.1,0.052,12.975,0.029,0,J110431.67-585501.3,12.59,0.013,12.752,0.009,0,1670m591o0098416,12.81898106,-0.002823069,12.79680036,-0.006605513,0,,,,,,,,,,-8,VPHASDR2 J110431.7-585501.4,16.64,15.29,14.62,15.39748751,14.62384816,16.02941541,0.007338331,0.132652785,0.141625109,0,11043175-5855013,13.686,0.046,13.1,0.052,12.975,0.029,0,,,,,,,,,,,0,catwise,,,,,gaia,0,15.49906,0.003134,16.159851,0.006065,14.702211,0.005732,1.45764,0.586,,,-0.518150533,-0.504765747
2CXO J110432.8-584405,YSO,0.731958763,0.14,0,0,0.020618557,0.015,0.144329897,0.115,0.010309278,0.015,0.06185567,0.04,0.030927835,0.03,0,0,0.731958763,0.14,0.06185567,0.036742346,FALSE,166.1367917,-58.73486667,1.633581458,7.32,0,7.95E-16,3.05E-16,1.45E-15,3.11E-16,1.07E-15,8.54E-16,3.31E-15,9.59E-16,0.999,,Gaia EDR3 5338703623819396864,5338703623819396864,166.1370525,-58.73459445,16.05,0.003373,16.86154,0.012552,15.134711,0.007546,0.4113,0.0363,2276.21851,2143.07642,2464.74536,2228.05859,2089.50537,2373.38428,0,11043289-5844046,13.812,0.036,13.193,0.04,12.935,0.042,0,J110432.89-584404.0,12.674,0.011,12.857,0.009,0,1670m591o0037978,12.83614715,-0.002646616,12.82895985,-0.006145531,0,J110432.88-584404.1,12.836,0.033,13.016,0.031,12.356,,9.365,,0,VPHASDR2 J110432.9-584404.6,17.56,15.98,15.18,16.04981172,15.17943227,16.8286975,0.058726282,0.144238715,0.172392681,0,11043289-5844046,13.812,0.036,13.193,0.04,12.935,0.042,0,,,,,,,,,,,0,allwise,12.836,0.033,13.016,0.031,gaia,0,16.05,0.003373,16.86154,0.012552,15.134711,0.007546,1.726829,0.619,-0.18,0.796,0.291563618,-0.151890206
2CXO J110433.5-585034,Unconfident Classification,0.316326531,0.075,0,0.005,0.316326531,0.075,0,0.005,0.010204082,0.01,0.224489796,0.085,0.132653061,0.045,0,0.005,0.316326531,0.0658,0.459183673,0.08817596,FALSE,166.1399167,-58.84295556,0.461310259,10.08,0,4.14E-15,6.08E-16,1.95E-15,3.45E-16,3.30E-15,9.21E-16,9.40E-15,1.16E-15,1,,Gaia EDR3 5338654416338873088,5338654416338873088,166.1401047,-58.84290534,18.200813,0.003133,19.73468,0.029247,16.955776,0.00754,1.9294,0.1126,509.824463,482.618317,540.627075,512.079895,481.680298,546.863281,0,11043363-5850346,15.227,0.082,14.67,0.071,14.538,0.112,0,,,,,,-8,,,,,,-8,,,,,,,,,,-8,VPHASDR2 J110433.6-585034.5,20.33,18.61,17.03,18.20805853,16.99951296,19.5444812,0.057938485,0.182236841,0.288667909,0,11043363-5850346,15.227,0.082,14.67,0.071,14.538,0.112,0,,,,,,,,,,,,,,,,,gaia,0,18.200813,0.003133,19.73468,0.029247,16.955776,0.00754,2.778904,0.557,,,-0.359309821,0.257323181
2CXO J110434.8-584908,AGN,0.928571429,0.085,0.928571429,0.085,0,0,0,0.01,0,0,0,0,0.010204082,0.02,0.06122449,0.0625,0,0.005,0.071428571,0.065622024,FALSE,166.1451667,-58.81900556,0.730732016,6.79,0,8.90E-17,6.72E-17,9.95E-16,2.41E-16,4.90E-15,1.16E-15,5.98E-15,1.19E-15,0.497,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,-8,,,,,,-8,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.835826719,0.662534034
2CXO J110435.5-584824,LM-STAR,1,0.01,0,0,0,0,0,0,0,0,1,0.01,0,0,0,0,0,0.01,0,0,FALSE,166.1480417,-58.806925,0.339960333,20.68,0,2.26E-14,1.40E-15,6.54E-15,6.11E-16,4.40E-15,9.32E-16,3.36E-14,1.79E-15,0.998,,Gaia EDR3 5338656099962080896,5338656099962080896,166.1482784,-58.80694637,12.34267,0.002783,12.645993,0.002975,11.873609,0.003881,2.0869,0.0119,475.1633,472.053558,478.158722,474.11084,471.110535,477.502228,0,11043559-5848251,11.39,0.029,11.034,0.033,10.962,0.027,0,J110435.58-584825.0,10.896,0.013,10.93,0.009,0,1670m591o0035697,10.89805602,-0.000921165,10.90410157,-0.001988314,0,,,,,,,,,,-8,VPHASDR2 J110435.6-584825.0,,,,,,,,,,0,11043559-5848251,11.39,0.029,11.034,0.033,10.962,0.027,0,,,,,,,,,,,0,catwise,,,,,gaia,0,12.34267,0.002783,12.645993,0.002975,11.873609,0.003881,0.772384,0.356,,,-0.551409111,-0.195890185
2CXO J110435.9-584520,LM-STAR,0.898989899,0.065,0,0,0.01010101,0.01,0.060606061,0.04,0,0.005,0.898989899,0.065,0,0,0,0,0.03030303,0.03,0.01010101,0.01118034,FALSE,166.1496667,-58.75575833,0.836573143,9.37,0,5.16E-15,6.95E-16,1.67E-15,3.12E-16,4.24E-15,1.40E-15,1.11E-14,1.59E-15,0.997,,Gaia EDR3 5338656654063486464,5338656654063486464,166.1498063,-58.75578992,7.413162,0.002759,7.89957,0.002836,6.762435,0.003808,2.3306,0.0352,428.878082,422.663544,434.970337,427.256104,421.592987,433.041016,0,11043596-5845209,6.006,0.032,5.548,0.042,5.381,0.018,0,J110436.10-584520.7,6.089,0.027,5.739,0.014,-4,1670m591o0037296,5.520058353,-0.000303713,5.215021918,-0.000673475,0,J110435.99-584520.8,5.362,0.186,5.259,0.044,5.357,0.015,5.362,0.036,0,,,,,,,,,,,-8,11043596-5845209,6.006,0.032,5.548,0.042,5.381,0.018,0,J110435.99-584520.8,5.362,0.186,5.259,0.044,5.357,0.015,5.362,0.036,0,0,allwise,5.362,0.186,5.259,0.044,gaia,0,7.413162,0.002759,7.89957,0.002836,6.762435,0.003808,1.137135,0.458,0.103,0.747,-0.511095511,0.434840161
2CXO J110436.0-585108,Unconfident Classification,0.37755102,0.075,0.010204082,0.005,0.112244898,0.04,0.142857143,0.045,0,0,0.255102041,0.06,0.102040816,0.04,0,0.005,0.37755102,0.075,0.214285714,0.056789083,FALSE,166.1502083,-58.85226111,0.613324544,6.23,0,2.51E-15,4.60E-16,6.83E-16,2.02E-16,3.83E-16,2.90E-16,3.58E-15,5.79E-16,0.13,,Gaia EDR3 5338654420680596096,5338654420680596096,166.1502886,-58.8522516,15.48399,0.003072,15.996319,0.018299,14.389093,0.012931,2.8171,0.2318,360.911041,333.940643,388.923126,411.435394,391.007172,440.15152,0,,,,,,,,-8,,,,,,-8,,,,,,-8,,,,,,,,,,-8,VPHASDR2 J110436.1-585108.1,16.56,15.2,14.45,15.24997076,14.44996378,15.94312079,0.021530484,0.149952654,0.141278909,0,,,,,,,,,,,,,,,,,,,,,,,,,gaia,0,15.48399,0.003072,15.996319,0.018299,14.389093,0.012931,1.607226,,,,-0.572877115,-0.280888587
2CXO J110436.7-584757,LM-STAR,1,0.015,0,0,0,0,0,0,0,0,1,0.015,0,0,0,0,0,0.01,0,0,FALSE,166.153125,-58.79936389,0.951374577,5.35,0,1.53E-15,3.58E-16,2.77E-16,1.35E-16,4.28E-16,4.28E-16,2.23E-15,5.74E-16,0.351,,Gaia EDR3 5338656138667402752,5338656138667402752,166.153249,-58.79935583,13.437493,0.002801,13.790999,0.003279,12.896311,0.003921,2.0787,0.0195,473.26416,469.670135,478.179077,473.82251,469.29892,478.74939,0,11043679-5847578,12.284,0.029,11.965,0.036,11.851,0.03,0,J110436.77-584757.5,11.814,0.02,11.862,0.014,0,1670m591o0035951,11.7714704,-0.001442876,11.81181295,-0.003315408,0,J110436.81-584757.3,11.628,0.024,11.722,0.023,11.002,,9.052,,0,VPHASDR2 J110436.8-584757.7,14.02,13.3,12.82,13.38977871,12.82807647,13.73920583,0.00713933,0.095234021,0.056671201,0,11043679-5847578,12.284,0.029,11.965,0.036,11.851,0.03,0,J110436.81-584757.3,11.628,0.024,11.722,0.023,11.002,,9.052,,0,0,allwise,11.628,0.024,11.722,0.023,gaia,0,13.437493,0.002801,13.790999,0.003279,12.896311,0.003921,0.894688,0.319,-0.094,0.562,-0.692828221,0.214602006
2CXO J110437.6-585539,Unconfident Classification,0.329896907,0.08,0.010309278,0.01,0.216494845,0.075,0.072164948,0.045,0,0.005,0.051546392,0.035,0.319587629,0.09,0,0.005,0.329896907,0.08,0.536082474,0.117366946,FALSE,166.1567083,-58.92762778,1.033507586,6.41,0,1.58E-15,4.34E-16,1.30E-15,2.73E-16,1.11E-15,8.47E-16,3.99E-15,9.90E-16,0.482,,Gaia EDR3 5338653523004227584,5338653523004227584,166.1569358,-58.92750893,16.984093,0.003387,17.585375,0.009652,16.214666,0.006314,0.4729,0.0581,2065.09131,1859.03625,2316.44141,2014.29785,1811.08093,2274.1875,0,11043769-5855397,14.699,0.436,10.956,,10.13,,0,,,,,,-8,,,,,,-8,,,,,,,,,,-8,VPHASDR2 J110437.7-585539.1,18.08,16.87,16.19,16.98344246,16.19697084,17.56032952,0.04769894,0.165441318,0.198097775,0,11043769-5855397,14.699,0.436,10.956,,10.13,,0,,,,,,,,,,,,,,,,,gaia,0,16.984093,0.003387,17.585375,0.009652,16.214666,0.006314,1.370709,3.743,,,-0.095141457,-0.080605253
2CXO J110438.6-584929,LM-STAR,0.83,0.075,0,0,0,0,0.09,0.06,0,0,0.83,0.075,0,0,0,0,0.08,0.045,0,0,FALSE,166.1610833,-58.82493889,0.558229141,6.99,0,3.81E-15,6.12E-16,3.41E-16,1.33E-16,6.95E-16,6.64E-16,4.85E-15,9.13E-16,0.906,,Gaia EDR3 5338655932508971520,5338655932508971520,166.1611768,-58.82487159,9.729494,0.003416,9.751677,0.002832,9.578799,0.00379,1.9924,0.1587,512.971558,474.989258,562.894714,501.155518,470.229706,532.692383,0,11043868-5849297,9.45,0.027,9.368,0.029,9.253,0.024,0,J110438.68-584929.5,9.256,0.018,9.293,0.011,0,1670m591o0035159,9.268744168,-0.000395397,9.282316656,-0.00082419,0,J110438.68-584929.6,9.23,0.022,9.264,0.02,9.552,0.058,9.59,,0,,,,,,,,,,,-8,11043868-5849297,9.45,0.027,9.368,0.029,9.253,0.024,0,J110438.68-584929.6,9.23,0.022,9.264,0.02,9.552,0.058,9.59,,0,0,allwise,9.23,0.022,9.264,0.02,gaia,0,9.729494,0.003416,9.751677,0.002832,9.578799,0.00379,0.172878,0.082,-0.034,0.186,-0.836046096,0.342021904
